order	a_word	b_alphabet	c_meaning
764	Buddhism	英:/'b?d?z(?)m/ 美:/'b?d?z?m/ 	n. 佛教
765	duet	英:/dju?'et/ 美:/d?'?t/ 	n. 二重奏
766	challenge	英:/'t??l?n(d)?/ 美:/'t??l?nd?/ 	挑战
767	drama	英:/'drɑ?m?/ 美:/'drɑm?/ 	n. 戏剧，戏剧艺术；剧本；戏剧性事件
768	access	英:/'?kses/ 美:/'?ks?s/ 	"1. vt. 存取；接近；使用
2. n. 通路；进入；使用权"
769	fundamental	英:/f?nd?'ment(?)l/ 美:/?f?nd?'m?ntl/ 	根本
770	healthy	英:/'helθ?/ 美:/'h?lθi/ 	adj. 健康的，健全的；有益于健康的
771	cram	英:/kr?m/ 美:/kr?m/ 	"1. adj. 填鸭式学的
2. vi. 狼吞虎咽地吃东西；死记硬背功课"
772	dramatic	英:/dr?'m?t?k/ 美:/dr?'m?t?k/ 	adj. 戏剧的；引人注目的；激动人心的
773	glimmer	英:/'gl?m?/ 美:/'ɡl?m?/ 	"1. n. 微光；闪光；少许
2. vi. 闪烁；发微光"
774	cope	英:/k??p/ 美:/kop/ 	"1. vi. 处理；竞争；对付
2. n. 长袍"
775	excellent	英:/'eks(?)l(?)nt/ 美:/'?ks?l?nt/ 	"极好的,杰出的"
776	addition	英:/?'d??(?)n/ 美:/?'d???n/ 	n. 添加；增加物；加法
777	buddhist	/'budist/ 	"1. n. 佛教徒
2. adj. 佛教的"
778	Buddhist	/'budist/ 	"1. n. 佛教徒
2. adj. 佛教的"
779	daily	英:/'de?l?/ 美:/'deli/ 	"1. adj. 每日的；日常的
2. n. 日报；[美口]朝来夜去的女佣"
780	afford	英:/?'f??d/ 美:/?'f?rd/ 	vt. 给予，提供；买得起
781	clarinet	英:/kl?r?'net/ 美:/?kl?r?'n?t/ 	n. [乐]单簧管；竖笛，黑管
782	goat	英:/g??t/ 美:/ɡot/ 	n. 山羊；替罪羊（美俚）；色鬼（美俚）
783	diaper	英:/'da??p?/ 美:/'da?p?/ 	"1. n. 尿布
2. vt. 给孩子换尿布"
784	equation	英:/?'kwe??(?)n/ 美:/?'kwe?n/ 	n. 方程式，等式；相等；反应式
785	except	英:/?k'sept/ 美:/?k's?pt/ 	"1. vt. 不计；把…除外
2. vi. 反对"
786	alert	英:/?'l??t/ 美:/?'l?t/ 	"1. vt. 使警觉，使意识到；警告
2. adj. 警惕的，警觉的；留心的"
787	budge	英:/b?d?/ 美:/b?d?/ 	"1. vi. 挪动；微微移动；改变态度或意见；服从
2. vt. 移动；使改变态度或意见；使让步"
788	dainty	英:/'de?nt?/ 美:/'denti/ 	"1. adj. 秀丽的；美味的；讲究的；挑剔的
2. n. 美味"
789	document	英:/'d?kj?m(?)nt/ 美:/?dɑkj?m?nt/ 	"1. n. 文件，公文；文档；证件
2. vt. 用文件证明"
790	abandon	英:/?'b?nd(?)n/ 美:/?'b?nd?n/ 	"1. n. 狂热，放任
2. vt. 遗弃，放弃"
791	exception	英:/?k'sep?(?)n/ 美:/?k's?p??n/ 	"除外,例外"
792	cramp	英:/kr?mp/ 美:/kr?mp/ 	"1. n. 铁夹钳；痉挛，绞痛
2. vt. 使…抽筋；以铁箍扣紧；束缚，限制"
793	heap	英:/hi?p/ 美:/hip/ 	"1. n. 累积；堆；许多
2. vt. 堆积；堆"
794	earth	英:/??θ/ 美:/?θ/ 	n. 地球；泥土；地线；尘世；陆地
795	budget	英:/'b?d??t/ 美:/'b?d??t/ 	"1. n. 预算，预算费
2. vt. 安排，预定；把…编入预算"
796	brake	英:/bre?k/ 美:/brek/ 	"1. vi. 刹车
2. n. 闸，刹车；阻碍"
797	funeral	英:/'fju?n(?)r(?)l/ 美:/?fjun?r?l/ 	"1. n. 葬礼；[口]麻烦事
2. adj. 丧葬的，出殡的"
798	hear	英:/h??/ 美:/h?r/ 	"1. vt. 审理；听说；听到，听
2. vi. 听见；听"
799	glimpse	英:/gl?m(p)s/ 美:/ɡl?mps/ 	"1. n. 一瞥，一看
2. vi. 瞥见"
800	beard	英:/b??d/ 美:/b?rd/ 	"1. vt. 公然反对；抓…的胡须
2. n. 胡须；颌毛"
801	embroider	英:/?m'br??d?/ 美:/?m'br??d?/ 	"刺绣, 镶边, 装饰"
802	documentary	英:/d?kj?'ment(?)r?/ 美:/'dɑkj?'m?ntri/ 	文献的; 纪录片
803	encourage	英:/?n'k?r?d?/ 美:/?n'k??d?/ 	"鼓励,激励,支持"
804	clash	英:/kl??/ 美:/kl??/ 	"1. n. 冲突，不协调；碰撞声，铿锵声
2. vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
805	embroidery	英:/?m'br??d(?)r?/ 美:/?m'br??d?ri/ 	刺绣
806	diary	英:/'da??r?/ 美:/'da??ri/ 	n. 日记簿；日志，日记
807	gamble	英:/'g?mb(?)l/ 美:/'ɡ?mbl/ 	"1. vi. 赌博；投机；打赌；孤注一掷
2. vt. 赌博；孤注一掷；冒险假设"
808	coarse	英:/k??s/ 美:/k?rs/ 	adj. 粗糙的；下等的；粗俗的
809	hearing	英:/'h??r??/ 美:/'h?r??/ 	"1. n. 听力；审讯，听讯
2. v. 听见（hear的ing形式）"
810	clasp	英:/klɑ?sp/ 美:/kl?sp/ 	"1. n. 扣子，钩子；握手
2. vt. 紧抱；扣紧；紧紧缠绕"
811	gambler	英:/?g?mb?l/ 美:/'g?mbl?/ 	n. 赌徒；投机商人
812	dug	英:/d?ɡ/ 美:/d?ɡ/ 	"1. v. 挖，翻土（dig的过去式和过去分词）
2. n. 雌性哺乳动物的乳房"
813	crane	英:/kre?n/ 美:/kren/ 	"1. n. 鹤；吊车，起重机
2. vi. 伸着脖子看；迟疑，踌躇"
814	dramatist	英:/'dr?m?t?st/ 美:/'dr?m?t?st/ 	剧作家，戏剧家
815	dairy	英:/'de?r?/ 美:/'d?ri/ 	"1. n. 乳品店；制酪场；牛奶及乳品业；乳牛；奶制品
2. adj. 牛奶的；牛奶制的；乳品的；产乳的"
816	free	英:/fri?/ 美:/fri/ 	"1. adj. 自由的，不受约束的；免费的；游离的
2. vt. 使自由，解放；释放"
817	address	英:/?'dres/ 美:/?'dr?s/ 	"1. vt. 写姓名地址；向…致辞；演说；从事；忙于
2. n. 地址；致辞；演讲；说话的技巧"
818	escalator	英:/'esk?le?t?/ 美:/'?sk?'let?/ 	自动扶梯
819	accident	英:/'?ks?d?nt/ 美:/'?ks?d?nt/ 	n. 事故；机遇；意外事件；意外
820	embryo	英:/'embr???/ 美:/'?mbr?o/ 	"1. n. [动]胚胎；[植]胚芽；初期
2. adj. 初期的；胚胎的"
821	bachelor	英:/'b?t??l?/ 美:/'b?t??l?/ 	n. 单身汉；学士；（尚未交配的）小雄兽
822	duke	英:/dju?k/ 美:/d?k/ 	n. 公爵，（公国的）君主；[植]公爵（种）樱桃
823	aggressive	英:/?'gres?v/ 美:/?'ɡr?s?v/ 	积极
824	class	英:/klɑ?s/ 美:/kl?s/ 	"1. n. 班级；阶级；种类
2. vt. 分类；把…分等级"
825	back	英:/b?k/ 美:/b?k/ 	"1. n. 背部；后面；靠背；足球等的后卫；书报等的末尾
2. vt. 支持；后退；下赌注；背书"
826	excess	英:/?k'ses/ 美:/??k?s?s/ 	"1. n. 无节制；过度，过量；超过，超额
2. adj. 额外的，过量的；附加的"
827	escape	英:/?'ske?p/ 美:/?'skep/ 	"1. vt. 逃避，避免；被忘掉
2. vi. 逃脱；避开；溜走"
828	accidental	英:/?ks?'dent(?)l/ 美:/??ks?'d?ntl/ 	偶然
829	fungus	英:/'f??g?s/ 美:/'f??ɡ?s/ 	n. 真菌，霉菌；菌类
830	glisten	英:/'gl?s(?)n/ 美:/?ɡl?s?n/ 	"1. vi. 闪光，闪亮
2. n. 闪光，闪耀"
831	beast	英:/bi?st/ 美:/bist/ 	n. 野兽；畜生，人面兽心的人
832	algebra	英:/'?ld??br?/ 美:/'?ld??br?/ 	n. 代数学
833	buffalo	英:/?b?f?l?u/ 美:/?b?f??lo/ 	n. 水牛；野牛（产于北美）；水陆两用坦克
834	glitter	英:/'gl?t?/ 美:/'ɡl?t?/ 	"1. vi. 闪烁；闪光
2. n. 闪光；灿烂"
835	dodge	英:/d?d?/ 美:/dɑd?/ 	"1. n. 躲闪；托词
2. vi. 躲避，避开"
836	accidentally	英:/??ks??dent?l?/ 美:/??ks?'d?ntli/ 	"偶然地, 意外地"
837	heart	英:/hɑ?t/ 美:/hɑrt/ 	"1. n. 心脏；要点；感情；勇气；心形
2. vt. 鼓励；铭记"
838	cultivate	英:/'k?lt?ve?t/ 美:/'k?lt?vet/ 	培育
839	effect	英:/?'fekt/ 美:/?'f?kt/ 	"1. n. 效果；作用；影响
2. vt. 产生；达到目的"
840	game	英:/ge?m/ 美:/ɡem/ 	"1. n. 游戏；比赛
2. adj. 勇敢的"
841	apology	英:/?'p?l?d??/ 美:/?'pɑl?d?i/ 	n. 道歉；谢罪；辩护；勉强的替代物
842	body	英:/'b?d?/ 美:/'bɑdi/ 	"1. n. 身体；主体；团体；主要部分；大量
2. vt. 赋以形体"
843	backbone	英:/'b?kb??n/ 美:/'b?k'bon/ 	n. 决心，毅力；支柱；脊椎；[计]主干网
844	effective	英:/?'fekt?v/ 美:/?'f?kt?v/ 	"有效的,有影响的"
845	dull	英:/d?l/ 美:/d?l/ 	"1. adj. 钝的；呆滞的；阴暗的；迟钝的；无趣的
2. vt. 使阴暗；缓和；使迟钝"
846	coast	英:/k??st/ 美:/kost/ 	"1. vi. 沿岸航行；滑行
2. vt. 沿…岸航行"
847	glittering	英:/?gl?t?r??/ 美:/'ɡl?t?r??/ 	荧
848	beat	英:/bi?t/ 美:/bit/ 	"1. vt. 打；打败
2. vi. 打；打败；拍打；有节奏地舒张与收缩"
849	adequate	英:/'?d?kw?t/ 美:/??d?kw?t/ 	adj. 适当的；胜任的；充足的
850	buffet	英:/'b?fe?/ 美:/b?'fe/ 	"1. n. 打击；小卖部；猛烈冲击；自助餐
2. vt. 与…搏斗；连续猛击"
851	daisy	英:/'de?z?/ 美:/'dezi/ 	"1. n. 雏菊；菊科植物；极好的东西
2. adj. [俚]极好的；上等的"
852	heartless	英:/'hɑ?tl?s/ 美:/'hɑrtl?s/ 	"无情的, 残酷的;"
853	earthquake	英:/'??θkwe?k/ 美:/'?θ'kwek/ 	地震
854	backpack	英:/'b?kp?k/ 美:/'b?k'p?k/ 	"1. n. 远足用的背包；双肩背包，背包
2. vt. 挑运；把…放入背包"
855	effectively	英:/??fekt?vli:/ 美:/?'f?kt?vli/ 	"事实上,有效地"
856	dice	英:/da?s/ 美:/da?s/ 	"1. vt. 切成方块
2. n. 骰子"
857	branch	英:/brɑ?n(t)?/ 美:/br?nt?/ 	"1. vt. 分支；出现分歧
2. vi. 分支；出现分歧"
858	coastguard	/'k?ustga:d/ 	海岸警卫队
859	conclude	英:/k?n'klu?d/ 美:/k?n'klud/ 	"1. vt. 结束；推断；决定，作结论
2. vi. 决定；推断；断定"
860	cultural	英:/'k?lt?(?)r(?)l/ 美:/'k?lt??r?l/ 	adj. 文化的；教养的
861	exchange	英:/?ks't?e?nd?/ 美:/?ks't?end?/ 	"1. n. 交换；兑换；交易所；交流
2. vt. 交换；交易；兑换"
862	brand	英:/br?nd/ 美:/br?nd/ 	"1. vt. 打烙印于；印…商标于；铭刻于，铭记
2. n. 商标，牌子；烙印"
863	coastline	英:/'k??s(t)la?n/ 美:/'kostla?n/ 	海岸线
864	conclusion	英:/k?n'klu??(?)n/ 美:/k?n'klu?n/ 	结论
865	funnel	英:/'f?n(?)l/ 美:/'f?nl/ 	"1. n. 漏斗；烟囱
2. vt. 通过漏斗或烟囱等；使成漏斗形"
866	equip	英:/?'kw?p/ 美:/?'kw?p/ 	vt. 装备，配备
867	abbey	英:/??bi/ 美:/??bi/ 	n. 大修道院，大寺院；修道院中全体修士或修女
868	ease	英:/i?z/ 美:/iz/ 	"1. vt. 减轻，缓和；使安心
2. n. 安逸，悠闲；轻松，舒适"
869	emerald	英:/'em(?)r(?)ld/ 美:/'?m?r?ld/ 	"1. n. 绿宝石，翡翠；祖母绿；翠绿色
2. adj. 翠绿色的；翡翠的"
870	funny	英:/'f?n?/ 美:/'f?ni/ 	"1. adj. 有趣的；奇异的；滑稽的
2. n. 滑稽人物"
871	coat	英:/k??t/ 美:/kot/ 	"1. n. 外套
2. vt. 覆盖…的表面"
872	heartache	英:/'hɑ?te?k/ 美:/'hɑrtek/ 	心痛
873	equipment	英:/?'kw?pm(?)nt/ 美:/?'kw?pm?nt/ 	"设备,装备"
874	easel	英:/'i?z(?)l/ 美:/'izl/ 	n. 画架；黑板架
875	culture	英:/'k?lt??/ 美:/'k?lt??/ 	"1. n. 文化，文明；修养；栽培
2. vt. 培养（等于cultivate）"
876	God	英:/ɡ?d/ 美:/ɡɑd/ 	n. 神；（大写首字母时）上帝
877	emerge	英:/?'m??d?/ 美:/?'m?d?/ 	vi. 浮现；暴露；摆脱
878	champagne	英:/??m'pe?n/ 美:/??m'pen/ 	"香槟酒, 香槟色"
879	draught	英:/drɑ?ft/ 美:/drɑft/ 	"1. n. 气流；汇票；草稿（等于draft）
2. vt. 起草；征兵；选派（等于draft）"
880	dam	英:/d?m/ 美:/d?m/ 	"1. v. 筑坝；控制
2. n. 水坝；障碍"
881	does	英:/d?z/ 美:/d?z/ 	v. 做；工作；有用（do的第三人称单数形式）
882	end	英:/end/ 美:/?nd/ 	"1. n. 结束；末端；目标；死亡；尽头
2. vi. 结束，终止；终结"
883	east	英:/i?st/ 美:/ist/ 	"1. n. 东方；东方国家；东风
2. adj. 东方的；向东的；从东方来的"
884	dumb	英:/d?m/ 美:/d?m/ 	adj. 哑的，无说话能力的；不说话的，无声音的
885	champion	英:/'t??mp??n/ 美:/'t??mp??n/ 	"1. n. 冠军；拥护者；战士
2. vt. 拥护；支持"
886	afraid	英:/?'fre?d/ 美:/?'fred/ 	adj. 害怕的；担心的；恐怕
887	bug	英:/b?g/ 美:/b?ɡ/ 	"1. n. 臭虫，小虫；窃听器；故障
2. vt. 烦扰，打扰；装窃听器"
888	apostrophe	英:/?'p?str?f?/ 美:/?'pɑstr?fi/ 	n. 省略符号，撇号；呼语，顿呼
889	brandy	英:/'br?nd?/ 美:/'br?ndi/ 	n. 白兰地酒
890	fur	英:/f??/ 美:/f?/ 	"1. n. 毛皮；皮，皮子；软毛
2. vt. 用毛皮覆盖；使穿毛皮服装"
891	damage	英:/'d?m?d?/ 美:/'d?m?d?/ 	"1. vi. 损害；损毁；赔偿金
2. n. 损害；损毁"
892	grandpa	英:/'gr?n(d)pɑ?/ 美:/?ɡr?nd?pɑ/ 	n. [口]爷爷；[口]外公
893	backstroke	英:/'b?kstr??k/ 美:/'b?k'strok/ 	仰泳
894	championship	英:/'t??mp??n??p/ 美:/'t??mp??n??p/ 	"锦标赛,冠军，拥护"
895	abbreviate	英:/?'bri?v?e?t/ 美:/?'briv?'et/ 	简略
896	emergency	英:/i'm?:d??nsi/ 美:/??m?d??nsi/ 	"紧急状态, 突发事件"
897	alien	英:/'e?l??n/ 美:/'el??n/ 	"1. adj. 外国的；相异的，性质不同的；不相容的
2. n. 外星人；外国人，外侨"
898	global	英:/'gl??b(?)l/ 美:/'ɡlobl/ 	adj. 全球的；球形的；总体的
899	dog	英:/d?g/ 美:/d?ɡ/ 	"1. n. 狗；；[美俚]丑女人；卑鄙的人；(俚)朋友
2. vt. 跟踪；尾随"
900	abbreviation	英:/?bri?v?'e??(?)n/ 美:/?'briv?'e??n/ 	缩写
901	ending	英:/'end??/ 美:/'?nd??/ 	n. 结局；结尾
902	chance	英:/t?ɑ?ns/ 美:/t??ns/ 	"1. n. 可能性；机会，际遇；运气，侥幸
2. vt. 偶然发生；冒……的险"
903	classical	英:/'kl?s?k(?)l/ 美:/'kl?s?kl/ 	经典
904	excite	英:/?k'sa?t/ 美:/?k'sa?t/ 	"1. vt. 刺激…，使…兴奋；激起
2. vi. 激动"
905	escort	英:/'esk??t/ 美:/?'sk?t/ 	"1. n. 陪同；护送者；护航舰；护卫队
2. vt. 护送；陪同；为…护航"
906	furious	英:/'fj??r??s/ 美:/'fj?r??s/ 	adj. 狂怒的；激烈的；热烈兴奋的；喧闹的
907	globe	英:/gl??b/ 美:/ɡlob/ 	"1. n. 地球仪；地球；球体
2. vt. 使…成球形"
908	enquire	英:/?n'kwa??/ 美:/?n'kwa?r/ 	"enquiry<br /><br />1. vi. 询问；调查；问候（等于inquire）
2. vt. 询问；打听"
909	bodyguard	英:/'b?d?gɑ?d/ 美:/'bɑd?ɡɑrd/ 	保镖
910	excited	英:/?k'sa?t?d/ 美:/?k'sa?t?d/ 	"1. adj. 激动的；兴奋的；活跃的
2. v. 激动；唤起（excite的过去分词）"
911	blackmail	英:/'bl?kme?l/ 美:/'bl?kmel/ 	勒索; 勒索，讹诈
912	crash	英:/kr??/ 美:/kr??/ 	"1. n. 碰撞；崩溃；坠落
2. vt. 破碎；撞碎；坠落"
913	draw	英:/dr??/ 美:/dr?/ 	"1. vt. 画；拉；吸引
2. vi. 拉；拖"
914	brass	英:/brɑ?s/ 美:/br?s/ 	n. 黄铜；黄铜制品；厚脸皮；铜管乐器
915	damn	英:/d?m/ 美:/d?m/ 	"1. vt. 谴责；罚…下地狱
2. vi. 谴责"
916	copy	英:/'k?p?/ 美:/'kɑpi/ 	"1. vi. 复制；复印；抄袭
2. vt. 复制；复印；抄袭"
917	accompany	英:/?'k?mp?n?/ 美:/?'k?mp?ni/ 	陪
918	abdomen	英:/'?bd?m?n/ 美:/'?bd?m?n/ 	n. 腹部；下腹；腹腔
919	emigrate	英:/'em?gre?t/ 美:/'?m?ɡret/ 	"1. vi. 移居；移居外国
2. vt. 移民"
920	alight	英:/?'la?t/ 美:/?'la?t/ 	"1. vi. 下来；飞落
2. adj. 烧着的；点亮着的"
921	dictate	英:/d?k'te?t/ 美:/'d?ktet/ 	"1. vt. 命令；口述；使听写
2. vi. 口述；听写"
922	buggy	英:/'b?g?/ 美:/'b?ɡi/ 	"1. n. 双轮单座轻马车；童车
2. adj. 多虫的"
923	exciting	英:/?k'sa?t??/ 美:/?k'sa?t??/ 	"1. adj. 使人激动的；令人兴奋的
2. v. 激动；唤起；刺激（excite的ing形式）"
924	blacksmith	英:/'bl?ksm?θ/ 美:/'bl?ksm?θ/ 	铁匠
925	dictation	英:/d?k'te??(?)n/ 美:/d?k'te??n/ 	听写
926	dummy	英:/'d?m?/ 美:/'d?mi/ 	"1. adj. 假的；虚拟的
2. n. 仿制品；傀儡；哑巴"
927	grant	英:/ɡrɑ:nt/ 美:/ɡr?nt/ 	"1. vt. 授予；承认；允许
2. vi. 同意"
928	easter	/'i:st?/ 	n. [宗]复活节
929	concrete	英:/'k??kri?t/ 美:/'kɑ?krit/ 	"1. adj. 实在的，具体的；有形的；混凝土的
2. vi. 凝结"
930	goddess	英:/'g?d?s/ 美:/'ɡɑd?s/ 	n. 女神，受崇拜的女性
931	dictator	英:/d?k'te?t?/ 美:/'d?ktet?/ 	n. 独裁者；命令者
932	furnace	英:/'f??n?s/ 美:/'f?n?s/ 	n. 火炉，熔炉
933	dump	英:/d?mp/ 美:/d?mp/ 	"1. vt. 倾倒；倾卸
2. vi. 倒垃圾"
934	appalling	英:/?'p??l??/ 美:/?'p?l??/ 	骇人听闻的
935	accomplish	英:/?'k?mpl??/ 美:/?'kɑmpl??/ 	完成
936	aspect	英:/'?spekt/ 美:/'?sp?kt/ 	"topic, etc that does not fit into a particular category, and is therefore difficult to deal with 灰色区域（不易归类故难以处理的方面、 题目等）: When the rules for police procedure were laid down, a lot of grey areas remained. 警方的程序规章定立後, 遗留下许多难以处理的灰色区域.<br /><br />n. 方面；外貌；形势；方向"
937	excitement	英:/?k'sa?tm?nt/ 美:/?k'sa?tm?nt/ 	"激动, 兴奋"
938	alike	英:/?'la?k/ 美:/?'la?k/ 	"1. adj. 相同的；相似的
2. adv. 以同样的方式；类似于"
939	blade	英:/ble?d/ 美:/bled/ 	n. 刀片，刀锋；叶片；剑
940	build	英:/b?ld/ 美:/b?ld/ 	"1. vt. 建筑；建立
2. vi. 建筑；建造"
941	ESL	/?i: es 'el/ 	abbr. 非母语英语课程（English as a second language）
942	drawer	英:/dr??/ 美:/dr?r/ 	n. 抽屉；开票人
943	after	英:/'ɑ?ft?/ 美:/'?ft?/ 	"1. adv. 后来，以后
2. prep. 在……之后"
944	exclaim	英:/?k'skle?m/ 美:/?k'sklem/ 	"1. vi. 呼喊，惊叫；大声叫嚷
2. vt. 大声说出"
945	builder	英:/'b?ld?/ 美:/'b?ld?/ 	n. 建筑者；建立者
946	furniture	英:/'f??n?t??/ 美:/'f?n?t??/ 	家具
947	endless	英:/'endl?s/ 美:/'?ndl?s/ 	adj. 无止境的；环状的；连续的；漫无目的的
948	eastern	英:/'i?st(?)n/ 美:/'ist?n/ 	"1. adj. 东方的；朝东的；东洋的
2. n. 东方人；（美国）东部地区的人"
949	exclamation	英:/?ekskl?'me??(?)n/ 美:/??kskl?'me??n/ 	"惊呼, 惊叹词"
950	built	英:/b?lt/ 美:/b?lt/ 	"1. v. 建造（build的过去分词）
2. adj. 身段优美的；…建成的"
951	accord	英:/?'k??d/ 美:/?'k?rd/ 	"1. n. 一致；符合；协议；自愿
2. vt. 使一致；给予"
952	copier	英:/'k?p??/ 美:/'kɑp??/ 	n. 抄写员；复印机（等于copying machine）；模仿者
953	efficient	英:/?'f??(?)nt/ 美:/??f???nt/ 	效率高的，胜任的
954	adjective	英:/'?d??kt?v/ 美:/'?d??kt?v/ 	形容词
955	change	英:/t?e?n(d)?/ 美:/t?end?/ 	"变化, 零钱"
956	drawing	英:/'dr??(r)??/ 美:/'dr???/ 	"1. n. 图画；牵引；素描术
2. v. 拖曳；绘画；吸引（draw的ing形式）"
957	blame	英:/ble?m/ 美:/blem/ 	"1. vt. 责备；归咎于
2. n. 责备；过失；责任"
958	apparent	英:/?'p?r(?)nt/ 美:/?'p?r?nt/ 	adj. 显然的；表面上的
959	clause	英:/kl??z/ 美:/kl?z/ 	n. 条款；子句
960	cunning	英:/'k?n??/ 美:/'k?n??/ 	"1. adj. 狡猾的；可爱的；巧妙的
2. n. 狡猾"
961	dictionary	英:/'d?k?(?)n(?)r?/ 美:/'d?k??'n?ri/ 	"词典, 字典, 辞典"
962	apparently	英:/??p?r?ntl?/ 美:/?'p?r?ntli/ 	显然
963	ago	英:/?'g??/ 美:/?'ɡo/ 	"1. adv. 以前，以往
2. adj. 过去的；以前的"
964	damp	英:/d?mp/ 美:/d?mp/ 	"1. vt. 使潮湿；使沮丧，抑制；使阻尼
2. vi. 减幅，阻尼；变潮湿"
965	beautician	英:/bju?'t??(?)n/ 美:/bju?t???n/ 	美容师
966	grape	英:/gre?p/ 美:/ɡrep/ 	n. 葡萄；葡萄树；葡萄色；葡萄酒
967	easy	英:/'i?z?/ 美:/'izi/ 	"1. adj. 容易的；舒适的
2. adv. 不费力地，从容地"
968	exclude	英:/?k'sklu?d/ 美:/?k'skl?d/ 	vt. 排除；排斥；拒绝接纳；逐出
969	building	英:/'b?ld??/ 美:/'b?ld??/ 	"1. n. 建筑；建筑物
2. v. 建筑；建立；增加（build的ing形式）"
970	easily	英:/'i?z?l?/ 美:/'iz?li/ 	adv. 容易地；无疑地
971	exclusion	英:/?k'sklu??(?)n/ 美:/?k'sklu?n/ 	"排除,除外,逐出"
972	alive	英:/?'la?v/ 美:/?'la?v/ 	adj. 活着的；活泼的；有生气的
973	cobweb	英:/'k?bweb/ 美:/'kɑb'w?b/ 	"1. n. 蜘蛛网；蛛丝；圈套
2. vt. 使布满蛛网；使混乱"
974	beautiful	英:/'bju?t?f?l/ 美:/'bj?t?f?l/ 	"美丽的, 漂亮的"
975	appeal	英:/?'pi?l/ 美:/?'pil/ 	"1. vi. 呼吁，恳求；有吸引力，迎合爱好；诉诸，求助；上诉；（体育比赛中）诉诸裁判
2. n. 上诉；吸引力，感染力；呼吁，请求；诉诸裁判"
976	account	英:/?'ka?nt/ 美:/?'ka?nt/ 	"1. n. 帐目，帐单；理由；帐户；解释
2. vi. 报帐；解释；导致"
977	agony	英:/'?g?n?/ 美:/'?ɡ?ni/ 	n. 极大的痛苦；苦恼；临死的挣扎
978	gloomy	英:/'glu?m?/ 美:/'ɡlumi/ 	adj. 黑暗的；沮丧的；阴郁的
979	backside	英:/b?k'sa?d/ 美:/'b?ksa?d/ 	n. 背部；后方；臀部
980	cup	英:/k?p/ 美:/k?p/ 	"1. n. 杯子；奖杯；酒杯
2. vt. 使成杯状；为…拔火罐"
981	did	英:/d?d/ 美:/d?d/ 	v. 做（do的过去式）
982	drawn	英:/dr??n/ 美:/dr?n/ 	"1. adj. 拔出的
2. v. 画，绘图（draw的过去分词）"
983	further	英:/'f????/ 美:/'f???/ 	"1. adv. 更远地；进一步地；而且
2. adj. 更远的；深一层的"
984	aftershave	"英:/'ɑ?ft??e?v/ 美:/'?ft?,?ev/ "	擦面液
985	bulb	英:/b?lb/ 美:/b?lb/ 	"1. n. 电灯泡；球状物；[植]鳞茎
2. vi. 生球茎；膨胀成球状"
986	channel	英:/'t??n(?)l/ 美:/'t??nl/ 	"1. vt. 引导，开导；形成河道
2. n. 海峡；频道；通道"
987	accountant	英:/?'ka?nt(?)nt/ 美:/?'ka?nt?nt/ 	会计人员
988	grapefruit	英:/'gre?pfru?t/ 美:/?ɡrep?frut/ 	葡萄柚，葡萄柚树
989	endure	英:/?n'dj??/ 美:/?n?d?r/ 	"1. vt. 忍耐；容忍
2. vi. 忍耐；持续"
990	bland	英:/bl?nd/ 美:/bl?nd/ 	"1. adj. 乏味的；冷漠的；温和的
2. vt. 使…变得淡而无味；除掉…的特性"
991	boil	英:/b??l/ 美:/b??l/ 	"1. vi. 煮沸，沸腾；激动，激昂
2. vt. 煮沸，烧开；使…激动；使…蒸发"
992	effort	英:/'ef?t/ 美:/'?f?t/ 	n. 成就；努力
993	gang	英:/g??/ 美:/ɡ??/ 	"队,群,帮"
994	graph	英:/grɑ?f/ 美:/ɡr?f/ 	"1. n. [数]图表；曲线图
2. vt. 用曲线图表示"
995	boiling	英:/'b??l??/ 美:/'b??l??/ 	"1. adj. 沸腾的；激昂的
2. n. 煮沸；沸腾；起泡"
996	eat	英:/i?t/ 美:/it/ 	"1. vt. 吃，喝；腐蚀；烦扰
2. vi. 腐蚀，侵蚀；进食"
997	all	英:/??l/ 美:/?l/ 	"1. adj. 全部的
2. adv. 越发；全然地"
998	bulge	英:/b?ld?/ 美:/b?ld?/ 	"1. n. 胀；膨胀；凸出部分
2. vt. 使膨胀；使凸起"
999	dune	英:/dju?n/ 美:/d?n/ 	n. （由风吹积而成的）沙丘
1000	appear	英:/?'p??/ 美:/?'p?r/ 	vi. 出现；似乎；显得；[法]出庭
1001	brave	英:/bre?v/ 美:/brev/ 	"1. adj. 勇敢的；华丽的
2. vt. 勇敢地面对"
1002	beauty	英:/'bju?t?/ 美:/'bjuti/ 	n. 美；美人；美好的东西；美丽
1003	claw	英:/kl??/ 美:/kl?/ 	"1. n. 爪；螯，钳；爪形器具
2. vi. 用爪抓（或挖）"
1004	cupboard	英:/'k?b?d/ 美:/'k?b?d/ 	n. 食橱；碗柜
1005	chaos	英:/'ke??s/ 美:/'keɑs/ 	n. 混沌，混乱
1006	especially	英:/?'spe?(?)l?/ 美:/?'sp???li/ 	"特别,尤其"
1007	appearance	英:/?'p??r(?)ns/ 美:/?'p?r?ns/ 	"外表,出现,出场"
1008	dread	英:/dred/ 美:/dr?d/ 	"1. n. 恐惧；可怕的人（或物）
2. vi. 惧怕；担心"
1009	afternoon	英:/ɑ?ft?'nu?n/ 美:/??ft?'nun/ 	下午;下午好
