a_word,b_alphabet,c_meaning
bleat,英:/bliːt/ 美:/blit/,"1. vi. 咩咩叫；胡扯；抱怨
2. vt. 咩咩地叫；愚蠢地讲"
citric acid,/ˏsɪtrɪk ˈæsɪd/,柠檬酸
code,英:/kəʊd/ 美:/kod/,"1. n. 代码，密码；法典；编码
2. vt. 编码；制成法典"
gone,英:/gɒn/ 美:/ɡɔn/,"1. adj. 离去的；死去的；用光的
2. v. 去（go的过去分词）"
bleed,英:/bliːd/ 美:/blid/,"1. vt. 使出血；榨取
2. vi. 流血；渗出；悲痛"
drill,英:/drɪl/ 美:/drɪl/,"1. n. 钻子；钻孔机；播种机；训练
2. vi. 钻孔；训练"
formic acid,/ˏfɔːmɪk ˈæsɪd/,[化]蚁酸；[化]甲酸
curt,英:/kɜːt/ 美:/kɝt/,adj. 简略的；简要的；草率的；简单粗暴的
creed,英:/kriːd/ 美:/krid/,n. 信条，教义
picric acid,/ˏpɪkrɪk ˈæsɪd/,[化]苦味酸；三硝基酚
dome,英:/dəʊm/ 美:/dom/,"1. n. 圆屋顶
2. vi. 成圆顶状"
bona fide,英:/ˏbəunə ˈfaɪdɪ/ 美:/ˈbonə ˌfaɪd/,"1. adj. 真诚的；善意的；真实的
2. adv. 真实地；真诚地；善意地"
digs,/digz/,"1. n. [俚]寓所；住所；挖；嘲讽（dig的复数）
2. v. 挖掘；摸索（dig的三单形式）"
Dutchman,英:/ˈdʌtʃmən/ 美:/ˈdʌtʃmən/,n. 荷兰人；荷兰船
creek,英:/kriːk/ 美:/krik/,n. 小溪；小湾
domed,/domd/,"1. adj. 半球形的；有穹顶的
2. v. 在…上加穹顶；隆起成穹顶状（dome的过去分词）"
Beeb,/bi:b/,BBC 英国广播公司的简称
prussic acid,/ˏprʌsɪk ˈæsɪd/,[化]氢氰酸，氰酸
Cornish,英:/ˈkɔ:niʃ/ 美:/ˈkɔrnɪʃ/,"1. adj. 康沃尔人的；康沃尔郡的
2. n. 考尼什鸡；康沃尔人说的凯尔特语"
clerk,英:/klɑːk/ 美:/klɝk/,"1. n. 职员，办事员；店员；书记；记帐员
2. vi. 当销售员，当店员"
gong,英:/gɒŋ/ 美:/ɡɑŋ/,"1. n. 锣；钟状物；[英俚]奖章
2. vt. 鸣锣传唤；鸣锣命令驾车者停驶"
bleep,英:/bliːp/ 美:/blip/,"1. vi. 发出哔哔声
2. n. 哔哔声"
creel,英:/kriːl/ 美:/kril/,n. 鱼篮；捕虾笼；粗纱架；经轴架
audio frequency,/ˏɔːdɪəu ˈfriːkwənsɪ/,音频；成音频率
Domesday Book,英:/ˈduːmzdeɪ buk/ 美:/ˈdumzˌde/,英国国王1806年颁的土地志
beech,英:/biːtʃ/ 美:/bitʃ/,"1. n. [植]山毛榉
2. adj. 山毛榉木材的"
graving dock,英:/ˈgreɪvɪŋ dɔk/ 美:/ˈɡrevɪŋ/,干船坞
bafta,/ˈbæftə/,棉丝交织物 BAFTAn. 电影与电视艺术奖
dike,英:/daik/ 美:/daɪk/,"1. n. 堤防，堤坝；障碍物；（英）壕沟
2. vt. 筑堤防护；开沟排水（等于dyke）"
chart,英:/tʃɑːt/ 美:/tʃɑrt/,"1. n. 图表；海图；图纸
2. vt. 绘制…的图表；在海图上标出；详细计划"
darn,英:/dɑːn/ 美:/dɑrn/,"1. v. 织补，缝补
2. n. 织补"
beef,英:/biːf/ 美:/bif/,"1. n. 牛肉；食用牛；肌肉；牢骚
2. vi. 抱怨，告发；发牢骚"
bond,英:/bɔnd/ 美:/bɑnd/,"1. n. 结合；粘合剂；债券；约定
2. vi. 结合，团结在一起"
alma mater,英:/ˈælmə ˈmɑ:tə/ 美:/ˌælmə ˈmɑtɚ/,母校；校歌
bumph,英:/bʌmp/ 美:/bʌmf/,n. 公文
creep,英:/kriːp/ 美:/krip/,"1. vi. 爬行；慢慢地移动；起鸡皮疙瘩；蔓延
2. n. 爬行；毛骨悚然的感觉；谄媚者"
bag,英:/bæg/ 美:/bæɡ/,"1. n. 袋；猎获物；（俚）一瓶啤酒
2. vt. 猎获；把…装入袋中；[口]占据，私吞；使膨大"
gas,英:/gæs/ 美:/ɡæs/,"1. n. 气体；汽油；毒气；瓦斯
2. vt. 毒（死）；加油"
drink,英:/drɪŋk/ 美:/drɪŋk/,"usu for people who are ill, made by boiling beef in water 牛肉汁（通常作病人进补用）.<br /><br />1. vt. 喝，饮；吸收；举杯庆贺
2. vi. 喝酒；饮水；干杯"
hedge,英:/hedʒ/ 美:/hɛdʒ/,"1. vt. 用树篱笆围住；避免作正面答复
2. vi. 用树篱围住；避免作正面答复"
goo,英:/guː/ 美:/ɡu/,n. 感伤；粘性物
clew,英:/kluː/ 美:/klʊ/,"1. n. 线团；线索
2. vt. 绕成线球；提示"
bream,英:/briːm/ 美:/brim/,"1. n. 鲤科鱼；欧鳊属淡水鱼；用加热和刮擦的方法清扫船底
2. vt. 打扫"
dart,英:/dɑːt/ 美:/dɑrt/,"1. n. 镖；标枪；飞镖；猛冲
2. vi. 突进；猛冲；投掷"
bone,英:/bəʊn/ 美:/bon/,"1. n. 骨；骨骼；香烟；一首歌
2. vt. 剔去...的骨；施骨肥于"
good,英:/gʊd/ 美:/ɡʊd/,"1. adj. 愉快的；好的；虔诚的；优良的
2. n. 好处；慷慨的行为；善行"
blench,英:/blen(t)ʃ/ 美:/blɛntʃ/,"1. vi. 退缩；回避
2. vt. 畏缩，退缩"
corona,英:/ˈkɔrənə/ 美:/kəˈronə/,n. 日冕；电晕；冠状物
breast,英:/brest/ 美:/brɛst/,"1. n. 乳房，胸部；胸怀；心情
2. vt. 以胸对着；与…搏斗"
domestication,"英:/dəu,mestikeiʃən/ 美:/dəˌm ɛstəˈkeʃən/",n. 驯养；教化
enlisted man,英:/enˈlɪstɪd/ 美:/ɛnˈlɪstɪd/,士兵
blend,英:/blend/ 美:/blɛnd/,"1. vt. 混合
2. vi. 混合；协调"
bun,英:/bʌn/ 美:/bʌn/,n. 小圆面包
chartism,英:/ˈtʃɑ:tizəm/ 美:/ˈtʃɑrˌtɪzəm/,n. 人民宪章主义；人民宪章运动
fresh,英:/freʃ/ 美:/frɛʃ/,"1. adj. 新鲜的；无经验的；淡水的；清新的
2. n. 泛滥；开始；新生"
click,英:/klɪk/ 美:/klɪk/,"1. vt. 点击；使发咔哒声
2. vi. 作咔哒声"
dash,英:/dæʃ/ 美:/dæʃ/,"1. n. 破折号；冲撞
2. vt. 使…破灭；猛撞；泼溅"
DV,/ˏdiː ˈviː/,abbr. diesel Vessel 煤油机船
fresh,英:/freʃ/ 美:/frɛʃ/,"1. adj. 新鲜的；无经验的；淡水的；清新的
2. n. 泛滥；开始；新生"
curve,英:/kɜːv/ 美:/kɝv/,"1. n. 曲线；弯曲；曲线球；曲线图表
2. vt. 使弯曲；弯"
bless,英:/bles/ 美:/blɛs/,vt. 祝福；保佑；赞美
bunch,英:/bʌn(t)ʃ/ 美:/bʌntʃ/,"1. n. 串；群；突出物
2. vi. 隆起；打褶；形成一串"
dwarf,英:/dwɔːf/ 美:/dwɔrf/,"1. vi. 变矮小
2. n. 侏儒，矮子"
beep,英:/biːp/ 美:/bip/,"1. vi. 嘟嘟响
2. n. 哔哔的声音；警笛声"
cliff,英:/klɪf/ 美:/klɪf/,n. 绝壁；悬崖
dwell,英:/dwel/ 美:/dwɛl/,vi. 居住；存在于；细想某事
bung,英:/bʌŋ/ 美:/bʌŋ/,"1. vt. 塞住；攻击
2. n. 塞子"
beer,英:/bɪə/ 美:/bɪr/,"1. n. 啤酒
2. vi. 喝啤酒"
gray,英:/ɡrei/ 美:/ɡre/,"1. adj. 灰色的；灰白头发的；苍白的；阴郁的
2. n. 灰色；暗淡的光线"
Charybdis,英:/kəˈribdis/ 美:/kəˈrɪbdɪs/,蟳
drip,英:/drɪp/ 美:/drɪp/,"1. vi. 滴下；充满；漏下
2. n. 水滴，滴水声；[医]静脉滴注；使人厌烦的人"
graze,英:/greɪz/ 美:/ɡrez/,"1. vt. 擦伤；放牧
2. vi. 吃草；擦伤"
cusp,英:/kʌsp/ 美:/kʌsp/,n. 尖端；尖头
alms,英:/ɑːmz/ 美:/ɑmz/,n. 捐献；救济物，施舍金
chase,英:/tʃeɪs/ 美:/tʃes/,"1. vt. 追逐；追捕；试图赢得；雕镂
2. vi. 追赶；追逐；奔跑"
crossfertilization,英:/ˈkrɔsˌfətilaiˈzeiʃən/ 美:/ˌkrɔsˌfɚtlɪˈzeʃən/,n. 异体受精;异花受精
corp,/kɔp/,abbr. 公司（等于corporation ）
bags,/bægz/,"1. n. 包（bag的复数形式）
2. v. 把…装入袋中（bag的第三人称单数形式）"
cuss,英:/kʌs/ 美:/kʌs/,"1. n. 诅咒；家伙；坏话
2. vi. 乱骂；咒骂"
heed,英:/hiːd/ 美:/hid/,"1. vi. 注意，留心
2. n. 注意到；留心到"
beet,英:/biːt/ 美:/bit/,"1. n. 甜菜；甜菜根
2. vt. 生火；修理；改过"
get,英:/get/ 美:/ɡɛt/,"1. vt. 获得；变成；使得；受到
2. n. 幼兽；生殖"
dye,英:/daɪ/ 美:/daɪ/,"1. n. 染料；染色
2. vt. 染；把…染上颜色"
breath,英:/breθ/ 美:/brɛθ/,n. 呼吸，气息；一口气，（呼吸的）一次；微风；瞬间，瞬息；迹象；[语]无声音，气音
dill,英:/dɪl/ 美:/dɪl/,n. [植]莳萝；莳萝的种子
date,英:/deɪt/ 美:/det/,"1. n. 日期；约会；年代；枣椰子
2. vi. 注明日期；始于（某一历史时期）；过时"
bah,英:/bɑː/ 美:/bɑ/,int. 呸
drive,英:/draɪv/ 美:/draɪv/,"1. vi. 开车；猛击；飞跑
2. vt. 驾驶（马车，汽车等）；驱赶；推动，发动（机器等）"
grease,英:/griːs/ 美:/gris/,"1. vt. 涂脂于；贿赂
2. n. 油脂；贿赂"
chaste,英:/tʃeɪst/ 美:/tʃest/,adj. 贞洁的；有道德的；纯洁的；朴素的
bail,英:/beɪl/ 美:/bel/,"1. n. 保释，保释人；保释金；杓
2. vt. 保释，帮助某人脱离困境；往外舀水"
ADT,/ˏeɪ diː ˈtiː/,abbr. 抽象数据类型（Abstract Data Type）；自动数据变换（Automatic Data Translator）；平均日交通量（Aaverage Daily Traffic）
bunk,英:/bʌŋk/ 美:/bʌŋk/,"1. n. 铺位；座床；床铺
2. vi. 睡在铺上；逃跑"
heel,英:/hiːl/ 美:/hil/,"1. n. 脚后跟；踵
2. vt. 倾侧"
fret,英:/fret/ 美:/frɛt/,"1. vt. 焦急；使磨损；使烦恼
2. vi. 磨损；烦恼；焦急"
heeled,英:/hiːld/ 美:/hild/,"1. adj. 有后跟的；带手枪的；带着钱的
2. v. 紧跟；（使）倾斜（heel的过去分词）"
dyke,英:/daɪk/ 美:/daɪk/,n. 堤；[俚]女子同性恋者
breathe,英:/briːð/ 美:/brið/,"1. vi. 呼吸；低语；松口气；（风）轻拂
2. vt. 呼吸；流露；使喘息；低声说"
blew,英:/bluː/ 美:/blʊ/,blow的过去式
crept,英:/krept/ 美:/krɛpt/,v. 匍匐爬行（creep的过去式）
don,英:/dɒn/ 美:/dɑn/,"1. n. 先生，阁下；指导教师，大学教师
2. vt. 穿上"
bailey,英:/ˈbeili/ 美:/ˈbeli/,n. 城壁，外栅；城堡外庭
blight,英:/blaɪt/ 美:/blaɪt/,"1. n. 枯萎病；荒芜
2. vt. 使…枯萎；破坏"
dim,英:/dɪm/ 美:/dɪm/,"1. adj. 模糊的，看不清的；暗淡的，昏暗的；悲观的，怀疑的
2. vt. 使暗淡，使失去光泽；使变模糊"
corps,英:/kɔː/ 美:/kɔr/,n. 军团；兵队；兵种；（德国大学的）学生联合会
mere,英:/mɪə/ 美:/mɪr/,"1. adj. 仅仅的；只不过的
2. n. 小湖；池塘"
climb,英:/klaɪm/ 美:/klaɪm/,"1. vi. 攀登；爬；上升
2. vt. 攀登；爬；上升"
alp,英:/ælp/ 美:/ælp/,n. 高山
Don Quixote,英:/dɔnˈkwiksət/ 美:/ˌdɑn kiˈhoti/,唐吉诃德（西班牙作家塞万提斯所著同名小说及其主人公）
great,英:/greɪt/ 美:/ɡret/,"1. adj. 伟大的，重大的；极好的，好的；主要的
2. n. 大人物；大师；伟人们"
bairn,英:/beən/ 美:/bɛrn/,n. （苏格兰）小孩；（苏格兰）幼儿
bunsen burner,/ˏbʌnsn ˈbɜːnə(r)/,本生灯，煤气喷灯
cress,英:/kres/ 美:/krɛs/,n. [植]水芹；[植]十字花科植物
corpse,英:/kɔːps/ 美:/kɔrps/,n. 尸体
chat,英:/tʃæt/ 美:/tʃæt/,"1. vi. 聊天；闲谈
2. vt. 与…搭讪；与…攀谈"
crest,英:/krest/ 美:/krɛst/,"1. n. 冠；山顶；顶饰；波峰
2. vi. 到达绝顶；形成浪峰"
daub,英:/dɔːb/ 美:/dɔb/,"1. vt. 涂抹；乱画；弄脏
2. vi. 涂抹；乱画"
heifer,英:/ˈhefə(r)/ 美:/ˈhɛfɚ/,n. 小母牛
ens,/enz/,n. 实体，存在
bait,英:/beɪt/ 美:/bet/,"1. vt. 引诱；在…中放诱饵；折磨
2. n. 饵；诱饵"
goods,英:/ɡʊdz/ 美:/ɡʊdz/,n. 商品；动产；合意的人；真本领
boo,英:/buː/ 美:/bu/,"1. vt. 嘘；向…喝倒采
2. vi. 发出嘘声"
baize,英:/beɪz/ 美:/bez/,n. 台面呢；粗呢；一种似毡的厚毛呢
blimp,英:/blɪmp/ 美:/blɪmp/,n. 顽固的保守分子；软式小型飞船；隔音罩
height,英:/haɪt/ 美:/haɪt/,n. 高度；高地；身高；顶点
boob,英:/buːb/ 美:/bub/,"1. n. 蠢材，笨蛋；[俚]女人的乳房
2. vi. [英国口语]犯愚蠢可笑的错误"
clime,英:/klaɪm/ 美:/klaɪm/,n. [诗]气候；地方
bake,英:/beɪk/ 美:/bek/,"烘焙,烤"
merge,英:/mɜːdʒ/ 美:/mɝdʒ/,"1. vt. 合并；吞没；使合并
2. vi. 合并；融合"
done,英:/dʌn/ 美:/dʌn/,"1. adj. 做好了的；完成了；煮熟的；合乎礼仪的
2. v. 做（do 的过去分词）"
baker,英:/beɪkə/ 美:/bekɚ/,n. 面包师；面包工人；（便携式）烘炉
acre,英:/ˈɑ:krə/ 美:/ˈekɚ/,n. 英亩；土地，地产
clinch,英:/klɪn(t)ʃ/ 美:/klɪntʃ/,"1. v. 扭住，敲弯
2. n. 拥吻，钉牢"
gash,英:/gæʃ/ 美:/ɡæʃ/,"1. n. 很深的裂缝；砍得很深的伤口
2. vt. 划开；砍入很深；（使）负深伤"
April,英:/ˈeiprəl/ 美:/ˈeprəl/,n. 四月
breech,英:/briːtʃ/ 美:/britʃ/,"1. n. 臀部；后膛
2. vt. 给…穿上裤子；给…装上炮尾"
habeas corpus,英:/ˏheɪbɪəs ˈkɔːpəs/ 美:/ˈhebiəs/,人身保护权；人身保护法
blind,英:/blaɪnd/ 美:/blaɪnd/,"1. adj. 瞎的；盲目的
2. adv. 看不见地；盲目地"
beg,英:/beg/ 美:/bɛɡ/,"1. vt. 恳求；乞讨；回避正题
2. vi. 请求；乞讨"
daunt,英:/dɔːnt/ 美:/dɔnt/,vt. 使气馁，使畏缩；威吓
heir,英:/eə/ 美:/ɛr/,n. 继承人；后嗣；嗣子
cline,英:/klaɪn/ 美:/klaɪn/,n. 渐变群，生态群
cut,英:/kʌt/ 美:/kʌt/,"1. n. 伤口；切口；削减；（服装等的）式样；[体育]削球；切入
2. vt. 切割；削减；缩短；刺痛"
coffin,英:/ˈkɔfin/ 美:/ˈkɔfɪn/,n. 棺材
goof,英:/guːf/ 美:/ɡuf/,"1. n. 呆瓜
2. vi. 打发时间，混，出大错"
cling,英:/klɪŋ/ 美:/klɪŋ/,vi. 坚持，墨守；紧贴；附着
cog,英:/kɒg/ 美:/kɑɡ/,"1. vt. 给…装配齿轮；以雄榫连接
2. vi. 以雄榫连接；一致，吻合；掷骰子时作弊，诈骗"
Friday,英:/ˈfraidi/ 美:/ˈfraɪdi/,n. 星期五
apse,英:/æps/ 美:/æps/,n. [天]拱点；教堂东端突出的半圆或多角形室
drogue,英:/drəʊg/ 美:/droɡ/,n. 浮标；风向指示筒
fridge,英:/frɪdʒ/ 美:/frɪdʒ/,n. 电冰箱
prima donna,/ˏpriːmə ˈdɔnə/,女主角，首席女歌手；爱慕虚荣的人
balaclava,英:/ˌbæləˈklɑ:və/ 美:/ˌbæləˈklævə/,巴拉克拉瓦
goon,英:/guːn/ 美:/ɡun/,n. 受雇暴徒；愚笨者；呆子；怪诞的人
gasp,英:/gɑːsp/ 美:/ɡæsp/,"1. vi. 喘息；喘气；渴望
2. vt. 气喘吁吁地说；喘着气说话"
crew,英:/kruː/ 美:/krʊ/,"1. n. 全体人员，全体船员；队，组
2. vi. 一起工作"
apt,英:/æpt/ 美:/æpt/,adj. 有…倾向的；恰当的；灵敏的
book,英:/bʊk/ 美:/bʊk/,"1. n. 书籍；帐簿；卷；名册；工作簿
2. vt. 预订；登记"
breed,英:/briːd/ 美:/brid/,"1. vi. 繁殖；饲养；产生
2. vt. 繁殖；饲养；养育，教育；引起"
goose,英:/guːs/ 美:/ɡus/,"1. n. 鹅；雌鹅；鹅肉；傻瓜
2. vt. 突然加大油门；嘘骂"
droll,英:/drəʊl/ 美:/drol/,"1. adj. 滑稽的；好笑的；逗趣的
2. n. 小丑，滑稽可笑的人"
heist,英:/haɪst/ 美:/haɪst/,"1. vt. 抢劫，拦劫；强夺
2. n. 抢劫；强夺"
davenport,英:/ˈdævənpɔ:t/ 美:/ˈdævɪnˌpɔrt/,长椅
fried,/fraɪd/,"1. adj. 油炸的，油煎的；[美俚]喝醉了的
2. v. 油炸（fry的过去分词）"
doom,英:/duːm/ 美:/dʊm/,"1. n. 厄运；死亡；判决；[宗]世界末日
2. vt. 判决；注定；使失败"
greaves,英:/ɡreɪvz/ 美:/ɡrivz/,n. 油渣；脂渣
Hejira,英:/hɪˈdʒaɪərə/ 美:/hɪˈdʒaɪrə/,n. 伊斯兰教纪元（等于hejira或Hegira）
friend,英:/frend/ 美:/frɛnd/,n. 朋友；赞助者；助手
grebe,英:/griːb/ 美:/ɡrib/,n. 水鸟（一种鸟）；壁虎
ENT,/ˏiː en ˈtiː/,abbr. [医]耳鼻喉（科）（ear，nose，and throat）
crib,英:/krɪb/ 美:/krɪb/,"1. n. 婴儿床；栅栏；食槽
2. vi. 剽窃"
ENT,/ˏiː en ˈtiː/,abbr. [医]耳鼻喉（科）（ear，nose，and throat）
venetian blind,英:/vəˏniːʃn ˈblaɪnd/ 美:/vəˈniʃən/,n. 软百叶帘
held,英:/held/ 美:/hɛld/,v. 握住（hold的过去分词）
clink,英:/klɪŋk/ 美:/klɪŋk/,"1. n. 叮当声；[建]劈楔；[俚]牢房
2. vi. 发叮当声"
drone,英:/drəʊn/ 美:/dron/,"1. n. 雄蜂；嗡嗡的声音；懒惰者
2. vi. 嗡嗡作声；混日子"
breeze,英:/briːz/ 美:/briz/,"1. n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
2. vi. 吹微风；逃走"
door,英:/dɔː/ 美:/dɔr/,n. 门；家，户；门口；通道
din,英:/dɪn/ 美:/dɪn/,"1. vt. 喧闹，絮絮不休地说
2. vi. 喧闹，絮絮不休地说"
greed,英:/griːd/ 美:/ɡrid/,n. 贪婪，贪心
dine,英:/daɪn/ 美:/daɪn/,"1. vi. 进餐，用餐
2. vt. 宴请"
crick,英:/krɪk/ 美:/krɪk/,"1. vt. 引起痉挛
2. n. 急性硬直；肌肉抽筋"
drool,英:/druːl/ 美:/drul/,"1. vi. 流口水；胡说
2. vt. 从嘴淌下；散漫地说"
dawn,英:/dɔːn/ 美:/dɔn/,"1. n. 黎明；开端
2. vt. 破晓；出现；被领悟"
begonia,英:/biˈɡəunjə/ 美:/bɪˈɡonjə/,n. 秋海棠；秋海棠属植物
bald,英:/bɔːld/ 美:/bɔld/,"1. adj. 秃顶的；单调的；光秃的；无装饰的
2. vi. 变秃"
cheap,英:/tʃiːp/ 美:/tʃip/,"1. adj. 便宜的；[口]小气的；不值钱的
2. adv. 便宜地"
droop,英:/druːp/ 美:/drup/,"1. vi. 下垂；萎靡；凋萎
2. vt. 使…下垂"
clip,英:/klɪp/ 美:/klɪp/,"1. vt. 修剪；夹牢；痛打
2. vi. 修剪"
drop,英:/drɒp/ 美:/drɑp/,"1. vt. 滴；使降低；随口漏出；使终止
2. vi. 终止；下降"
Boxing Day,英:/ˈbɔksɪŋ deɪ/ 美:/ˈbɑksɪŋ/,n. 节礼日；圣诞节后的第一个工作日
Greek,英:/gri:k/ 美:/ɡrik/,"1. n. 希腊语；希腊人
2. adj. 希腊的；希腊人的，希腊语的"
gore,英:/gɔː/ 美:/ɡɔr/,"1. vt. 刺伤；缝以补裆；顶
2. n. 淤血；三角形布；流出的血"
blink,英:/blɪŋk/ 美:/blɪŋk/,"1. vt. 眨眼；使…闪烁
2. vi. 眨眼；闪烁"
gate,英:/geɪt/ 美:/ɡet/,"1. n. 大门；出入口；门道
2. vt. 给…装大门"
act,英:/ækt/ 美:/ækt/,"1. vt. 扮演；装作，举动像
2. vi. 行动；扮演，充当；起作用，见效；假装，演戏；表现，举止"
day,英:/deɪ/ 美:/de/,"1. n. 一天；白昼；时期
2. adv. 每天；经常在白天地"
hell,英:/hel/ 美:/hɛl/,"1. n. 地狱；训斥；黑暗势力；究竟（作加强语气词）
2. vi. 过放荡生活；飞驰"
frieze,英:/friːz/ 美:/friz/,"1. n. 带状物；起绒粗呢
2. vt. 使起绒毛"
green,英:/griːn/ 美:/ɡrin/,"1. adj. 绿色的；青春的
2. n. 绿色；青春"
cried,/kraɪd/,v. 哭泣；喊叫（cry的过去分词）
breve,英:/briːv/ 美:/briv/,n. （罗马教皇的）谕令；二全音符，短弱音符
frig,英:/fridʒ/ 美:/frɪɡ/,"1. vt. [粗]与…发生性行为；[粗]手淫
2. vi. [粗]性交；[粗]手淫"
bale,英:/beɪl/ 美:/bel/,"1. vt. 将某物打成包或包装成捆
2. n. 货物；大包，大捆"
cute,英:/kjuːt/ 美:/kjʊt/,adj. 可爱的；聪明的，伶俐的；漂亮的
gorge,英:/gɔːdʒ/ 美:/ɡɔrdʒ/,"1. n. 胃；峡谷；暴食；咽喉；障碍物
2. vt. 使吃饱；吞下；使扩张"
cognizance,英:/ˈkɔgnɪzəns/ 美:/ˈkɑɡnɪzəns/,认定
blip,英:/blɪp/ 美:/blɪp/,n. （在雷达屏幕显示出的）物体光点
clique,英:/kliːk/ 美:/klik/,"1. n. 派系；私党；阀；小圈子
2. vi. 结党"
cheat,英:/tʃiːt/ 美:/tʃit/,"1. vt. 欺骗；骗取
2. vi. 欺骗；作弊"
fright,英:/fraɪt/ 美:/fraɪt/,"1. n. 惊吓；惊骇
2. vt. 使惊恐"
mesalliance,/ˏmeɪˈzælɪɑːns/,和低身份者结婚
green belt,英:/ˈgri:nˌbelt/ 美:/ˈɡrinˌbɛlt/,n. 城市绿化带
bliss,英:/blis/ 美:/blɪs/,"1. n. 极乐；天赐的福
2. vt. 使欣喜若狂"
check,英:/tʃek/ 美:/tʃɛk/,"1. vi. 证明无误；核对无误；将军（象棋）
2. vt. 检查；寄存；制止"
crime,英:/kraɪm/ 美:/kraɪm/,"1. n. 罪行，犯罪；罪恶；犯罪活动
2. vt. 控告……违反纪律"
ball,英:/bɔ:l/ 美:/bɔl/,"1. n. 球；舞会
2. vi. 成团块"
brew,英:/bruː/ 美:/brʊ/,"1. vt. 酿造；酝酿
2. vi. 酿酒；被冲泡；即将发生"
Hellene,英:/ˈheli:n/ 美:/ˈhɛlˌin/,n. 希腊人
mesdames,英:/meɪˈdɑ:m/ 美:/meˈdɑm/,n. 夫人（Madame的复数）
dingily,/dindʒili/,adv. 衣衫褴褛地；肮脏地；昏暗地
Hellenistic,英:/heliˈnistik/ 美:/ˌhɛləˈnɪstɪk/,希腊
dining,英:/dainiŋ/ 美:/ˈdaɪnɪŋ/,"1. n. 吃饭，进餐
2. v. 吃饭（dine的现在分词）"
mesh,英:/meʃ/ 美:/mɛʃ/,"1. n. 网眼；网丝；圈套
2. vi. 相啮合"
cloak,英:/kləʊk/ 美:/klok/,"1. n. 斗蓬；宽大外衣；托词
2. vt. 遮掩；隐匿"
ball game,英:/ˈbɔ:ˌgeɪm/ 美:/ˈbɔˌɡem/,局面；球类运动；活动中心
blithe,英:/blaɪð/ 美:/blaɪð/,adj. 愉快的；快乐无忧的
chose,英:/tʃəʊz/ 美:/tʃoz/,chosen<br /><br />n. 选择（choose 的过去式）
dross,英:/drɒs/ 美:/drɔs/,n. 浮渣；渣滓；碎屑
frightfully,英:/fraitfəli/ 美:/ˈfraɪtfəlɪ/,感到可怕
crimp,英:/krɪmp/ 美:/krɪmp/,"1. n. 卷发；皱褶；抑制；束缚
2. vt. 使有褶；使卷曲"
drought,英:/draʊt/ 美:/draʊt/,n. 干旱；缺乏
drove,英:/drəʊv/ 美:/drov/,"1. n. 畜群；牛群、羊群等；移动的人群或大批的东西
2. v. 驾驶（drive的过去分词）"
dope,英:/dəʊp/ 美:/dop/,"1. n. 笨蛋；麻醉药物；涂料
2. vt. 上涂料；服药"
gorse,英:/gɔːs/ 美:/ɡɔrs/,n. [植]金雀花；荆豆（等于furge）
bribe,英:/braɪb/ 美:/braɪb/,"1. vt. 贿赂，收买
2. vi. 行贿"
helm,英:/helm/ 美:/hɛlm/,"1. n. 舵；舵柄；领导地位；驾驶盘
2. vt. 指挥；给...掌舵"
blitz,英:/blɪts/ 美:/blɪts/,"1. n. 闪电战
2. vt. 以闪电战攻击"
GATT,/gæt/,abbr. 关税暨贸易总协定（General Agreement on Tariffs and Trade）
day shift,英:/ˈdeɪˌʃɪft/ 美:/ˈdeˌʃɪft/,日班（等于dayshift）
Doric,英:/ˈdɔrik/ 美:/ˈdɔrɪk/,"1. adj. 乡土音重的；多利斯型的
2. n. 多利安式"
cloche,英:/klɒʃ/ 美:/kloʃ/,n. 钟形女帽；钟形玻璃盖
gosh,英:/gɒʃ/ 美:/ɡɑʃ/,int. 唉；糟了；必定；天啊
dint,英:/dɪnt/ 美:/dɪnt/,"1. n. 凹痕
2. vt. 击出凹痕"
drown,英:/draʊn/ 美:/draʊn/,"1. vt. 淹没；把…淹死
2. vi. 淹死；溺死"
brick,英:/brɪk/ 美:/brɪk/,"1. n. 砖，砖块；砖形物；[口]心肠好的人
2. vt. 用砖砌"
frill,英:/frɪl/ 美:/frɪl/,"1. n. 褶边；装饰
2. vt. 折成皱边"
dorm,英:/dɔːm/ 美:/dɔrm/,n. 宿舍（等于dormitory）
boom,英:/buːm/ 美:/bʊm/,"1. vt. 发隆隆声；使兴旺
2. vi. 发隆隆声；急速发展"
clock,英:/klɒk/ 美:/klɑk/,"1. n. 时钟；计时器
2. vt. 记录；记时"
gauche,英:/ɡəuʃ/ 美:/ɡoʃ/,adj. 笨拙的；粗鲁的；不善交际的；偏转的
burn,英:/bɜːn/ 美:/bɝn/,"1. vt. 燃烧；烧毁，灼伤；激起…的愤怒
2. vi. 燃烧；烧毁；发热"
cringe,英:/krɪn(d)ʒ/ 美:/krɪndʒ/,"1. vi. 奉承；畏缩；阿谀
2. n. 畏缩；奉承"
drowse,英:/draʊz/ 美:/draʊz/,"1. vi. 打瞌睡；发呆
2. vt. 使昏昏欲睡；昏昏沉沉地消磨（时光）"
frilled,/frɪld/,adj. 饰有褶边的
mess,英:/mes/ 美:/mɛs/,"1. n. 食堂，伙食团；混乱；脏乱的东西；困境
2. vt. 弄乱，弄脏；毁坏；使就餐"
checked,英:/tʃekt/ 美:/tʃɛkt/,"1. adj. 选中的；格子花纹的
2. v. 检查（check的过去式和过去分词）"
